(10000, 784)
(10000, 1)
> Deep neural net Topology
----------------------------------
[(None, 784), (None, 500), (None, 500), (None, 2000), (None, 500), (None, 500), (None, 784)]
----------------------------------
> Deep neural net trainining
DNT [2017-05-03 13:17:50.255171] 0 1.19843101501
DNT [2017-05-03 13:18:07.578463] 10 1.06400704384
DNT [2017-05-03 13:18:11.706641] 20 1.03262686729
DNT [2017-05-03 13:18:15.840477] 30 1.01075005531
DNT [2017-05-03 13:18:19.975468] 40 0.992325782776
DNT [2017-05-03 13:18:24.107274] 50 0.975088775158
DNT [2017-05-03 13:18:28.236807] 60 0.958174526691
DNT [2017-05-03 13:18:32.369477] 70 0.941635608673
DNT [2017-05-03 13:18:36.501275] 80 0.9283156991
DNT [2017-05-03 13:18:40.632496] 90 0.927499055862
DNT [2017-05-03 13:18:44.763723] 100 0.925993919373
DNT [2017-05-03 13:18:48.896654] 110 0.924450099468
DNT [2017-05-03 13:18:53.034906] 120 0.922880172729
DNT [2017-05-03 13:18:57.172215] 130 0.921294391155
DNT [2017-05-03 13:19:01.306642] 140 0.919691264629
DNT [2017-05-03 13:19:05.440973] 150 0.918071389198
DNT [2017-05-03 13:19:09.575699] 160 0.917024791241
DNT [2017-05-03 13:19:13.707411] 170 0.916966080666
DNT [2017-05-03 13:19:17.836278] 180 0.916865468025
DNT [2017-05-03 13:19:21.964136] 190 0.916740179062
DNT [2017-05-03 13:19:26.099800] 200 0.916599750519
DNT [2017-05-03 13:19:30.232259] 210 0.916450321674
DNT [2017-05-03 13:19:34.407024] 220 0.916295588017
DNT [2017-05-03 13:19:38.541866] 230 0.916103243828
DNT [2017-05-03 13:19:42.678315] 240 0.916088402271
DNT [2017-05-03 13:19:46.812866] 250 0.91607350111
DNT [2017-05-03 13:19:50.942955] 260 0.916058421135
DNT [2017-05-03 13:19:55.077773] 270 0.916043281555
DNT [2017-05-03 13:19:59.213921] 280 0.916028082371
DNT [2017-05-03 13:20:03.349860] 290 0.916012704372
DNT [2017-05-03 13:20:07.483762] 300 0.915997266769
DNT [2017-05-03 13:20:11.615300] 310 0.915985941887
DNT [2017-05-03 13:20:15.749580] 320 0.915985167027
DNT [2017-05-03 13:20:19.885755] 330 0.915984451771
DNT [2017-05-03 13:20:24.019173] 340 0.91598367691
DNT [2017-05-03 13:20:28.165950] 350 0.915983080864
DNT [2017-05-03 13:20:32.298055] 360 0.915982306004
DNT [2017-05-03 13:20:36.428680] 370 0.915981531143
DNT [2017-05-03 13:20:40.563021] 380 0.915979921818
DNT [2017-05-03 13:20:44.694488] 390 0.915979325771
DNT [2017-05-03 13:20:48.827269] 400 0.915978908539
DNT [2017-05-03 13:20:52.954231] 410 0.915978431702
DNT [2017-05-03 13:20:57.087270] 420 0.915977954865
DNT [2017-05-03 13:21:01.221497] 430 0.915977418423
DNT [2017-05-03 13:21:05.357602] 440 0.915976881981
DNT [2017-05-03 13:21:09.500254] 450 0.915976405144
DNT [2017-05-03 13:21:13.634053] 460 0.915976345539
DNT [2017-05-03 13:21:17.768340] 470 0.91597622633
DNT [2017-05-03 13:21:21.901072] 480 0.91597622633
DNT [2017-05-03 13:21:26.031888] 490 0.91597622633
